Aditya Bhaskara
Alantha Newman
Amit Chakrabarti
Atri Rudra
Bojan Mohar
Brendan Lucier
Daniel Dadush
Daniel Kane
Daniel Lokshtanov
Deeparnab Chakrabarty
Erin Wolf Chambers
Fabian Kuhn
Friedrich Eisenbrand 
Hamed Hatami
Holger Dell
Ilan Newman
Ilya Razenshteyn
Jane Gao
Jonathan Kelner
Klaus Jansen
Laura Sanità
Liam Roditty
László Végh
Martin Hoefer
Michael Elkin
Oren Weimann
Peyman Afshani
Pravesh K. Kothari
Sariel Har-Peled
Shipra Agrawal
Siu On Chan
T.S. Jayram
Thomas Hayes
Thore Husfeldt
Tsvi Kopelowitz
Udi Wieder
Vijaya Ramachandran
Viswanath Nagarajan
Yang Cai
Zdenek Dvorak
