Ankit Garg
Arkadev Chattopadhyay
Balasubramanian Sivan
Boaz Barak
Chandra Chekuri
Christian Sohler
Christian Wulff-Nilsen
Dakshita Khurana
Dana Ron
Henry Yuen
Ilias Diakonikolas
Julia Chuzhoy
Justin Holmgren
Madhur Tulsiani
Marek Cygan
Mark Bun
Marvin Künnemann
Merav Parter
Nika Haghtalab
Nima Anari
Noga Ron-Zewi
Omri Weinstein
Piotr Indyk
Prahladh Harsha
Pravesh Kothari
Rafael Oliveira
Rahul Jain
Robert Krauthgamer
Robert Robere
Sanjeev Khanna
Sebastian Forster
Sofya Raskhodnikova
Sébastien Bubeck
Tengyu Ma
Thatchaphol Saranurak
Yevgeniy Dodis
