Alina Ene
Anupam Gupta
Arturs Backurs
Bart M.P. Jansen
Bartosz Walczak
Boaz Patt-Shamir
Chaitanya Swamy
Christian Wulff-Nilsen
Clément Canonne
David M. Mount
Debmalya Panigrahi
Eldar Fischer
Elias Koutsoupias
Ely Porat
Eric Price
Erik Waingarten
Eva Rotenberg
Flavio Chierichetti
Frédéric Magniez
Gerhard Woeginger
Grigory Yaroslavtsev
Günter Rote
Harald Räcke
James R. Lee
Kasturi Varadarajan
Mark de Berg
Meirav Zehavi
Moshe Lewenstein
Nicole Megow
Ofer Neiman
Parinya Chalermsook
Pasin Manurangsi
Per Austrin
Petra Berenbrink
Pinar Heggernes
Pinyan Lu
Piotr Micek
Rachel Cummings
Roy Schwartz
Saket Saurabh
Samir Khuller
Sayan Bhattacharya
Seffi Naor
Sepideh Mahabadi
Seth Pettie
Sharath Raghvendra
Shayan Oveis Gharan
Shi Li
Stefano Leonardi
Stefano Tessaro
Stephan Kreutzer
Subhash Suri
Sushant Sachdeva
T.-H. Hubert Chan
Thomas Erlebach
Thomas Sauerwald
Troy Lee
Varun Kanade
Vida Dujmovic
Vincent Cohen-Addad
Vladimir Kolmogorov
Xiaorui Sun
