Adam Smith
Alexandr Andoni
Amir Yehudayoff
Anindya De
Ankit Garg
Anna Gilbert
Anna Karlin
Arnab Bhattachryya
Aviad Rubinstein
Barna Saha
Cynthia Vinzant
Daniel Hsu
Daniel Spielman
Daniel Stefankovic
David Gosset
Johan Håstad
Joshua Grochow
Lorenzo Orecchia
László Végh
Merav Parter
Nisheeth Vishnoi
Noga Ron-Zewi
Piyush Srivastava
Pranjal Awasthi
Prateek Jain
Pritish Kamath
R. Ravi
Ravi Kumar
Russell Impagliazzo
Silvio Lattanzi
Susanna Rezende
Tali Kaufman
Uriel Feige
Yin Tat Lee
Yossi Azar
Zvika Brakerski
