Aaron Sidford
Aravindan Vijayaraghavan
Artur Czumaj
Arturs Backurs
Avishay Tal
Benjamin Rossman
Chris Umans
David Eppstein
Dor Minzer
Eric Allender
Faith Ellen
Fedor Fomin
Greg Bodwin
Guy Rothblum
Huacheng Yu
Inbal Talgam-Cohen
Jelani Nelson
Jesper Nederlof
Liam Roditty
Mary Wootters
Maximilian Probst Gutenberg
Michael Dinitz
Mohit Singh
Mohsen Ghaffari
Nutan Limaye
Piotr Sankowski
Raghu Meka
Robert Kleinberg
Ruta Mehta
Ryan O'Donnell
Aleksandar Nikolov
Sepideh Mahabadi
Thomas Vidick
Timothy Chan
Tselil Schramm
Virginia Vassilevska Williams
Yael Kalai
