Amir Abboud
Sepehr Assadi
Aaron Bernstein
Therese Biedl
Deeparnab Chakrabarty
Moses Charikar
Keren Censor-Hillel
Xi Chen
Christian Coester
Jose Correa
Daniel Dadush
Nikhil Devanur
Zdenek Dvorak
Friedrich Eisenbrand
Jeff Erickson
Guy Even
Moran Feldman
Pierre Fraigniaud
Badih Ghazi
Vasilis Gkatzelis
Zhiyi Huang
Giuseppe Italiano
Tomas Kaiser
Gautam Kamath
Daniel Kane
Ken-ichi Kawarabayashi
Michael P. Kim
Tsvi Kopelowitz
Ravi Kumar
Andrey Kupavskii
Kasper Green Larsen
Jerry Li
Daniel Lokshtanov
Anna Lubiw
Brendan Lucier
Thodoris Lykouris
Martin Milanič
Joe Mitchell
Benjamin Moseley
Viswanath Nagarajan
Peter Nelson
Danupon Nanongkai
Jonathan Noel
Neil Olver
Christophe Paul
Marcin Pilipczuk
Dror Rawitz
Andrea Richa
Thomas Rothvoss
Aviad Rubinstein
Barna Saha
Baruch Schieber
Bruce Shepherd
Mohit Singh
Aravind Srinivasan
Ola Svensson
Tami Tamir
Seeun William Umboh
Sergei Vassilvitskii
David Wajc
Matt Weinberg
Udi Wieder
Andreas Wiese
Steven Wu
