Amir Abboud
Josh Alman
Andris Ambainis
Nima Anari
Srinivasan Arunachalam
Petra Berenbrink
Aaron Bernstein
Aditya Bhaskara
Sayan Bhattacharya
Eric Blais
Hans Bodlaender
Adam Bouland
Anne Broadbent
Mark Bun
Keren Censor-Hillel
Timothy Chan
Arkadev Chattopadhyay
Chandra Chekuri
Xue Chen
Gil Cohen
Dana Dachman-Soled
Anindya De
Shahar Dobzinski
Shaddin Dughmi
Vida Dujmovic
Yuval Filmus
Sumegha Garg
Rong Ge
Elena Grigorescu
Shuichi Hirahara
Zhiyi Huang
Sungjin Im
Giuseppe Italiano
Ken-ichi Kawarabayashi
Sanjeev Khanna
Robin Kothari
Marvin Künnemann
Rasmus Kyng
Sophie Laplante
Hung Le
Daniel Lokshtanov
Sepideh Mahabadi
Nicole Megow
Slobodan Mitrovic
Ankur Moitra
Shay Moran
Christopher Musco
Krzysztof Onak
Rotem Oshman
Prasad Raghavendra
Susanna Rezende
Robert Robere
Alon Rosen
Ron Rothblum
Alex Russell
Laura Sanità
Thatchaphol Saranurak
Tselil Schramm
Rocco Servedio
Tasos Sidiropoulos
Alex Slivkins
Srikanth Srinivasan
David Steurer
Ola Svensson
Chaitanya Swamy
Madhur Tulsiani
Christos Tzamos
Muthu Venkitasubramaniam
Ben Lee Volk
Andreas Wiese
Mary Wootters
Yuichi Yoshida
Huacheng Yu
Meirav Zehavi
