Amir Abboud, Weizmann Institute of Science
Sepehr Assadi, Rutgers University
Aaron Bernstein, Rutgers University
Therese Biedl, University of Waterloo
Deeparnab Chakrabarty, Dartmouth College
Moses Charikar, Stanford University
Keren Censor-Hillel, Technion
Xi Chen, Columbia University
Christian Coester, Centrum Wiskunde & Informatica (CWI)
Jose Correa, Universidad de Chile
Daniel Dadush, Centrum Wiskunde & Informatica (CWI)
Nikhil Devanur, Amazon
Zdenek Dvorak, Charles University
Friedrich Eisenbrand, École Polytechnique Fédérale de Lausanne
Jeff Erickson, University of Illinois
Guy Even, Tel Aviv University
Moran Feldman, University of Haifa
Pierre Fraigniaud, Université de Paris and CNRS
Badih Ghazi, Google
Vasilis Gkatzelis, Drexel University
Zhiyi Huang, University of Hong Kong
Giuseppe Italiano, LUISS University
Tomas Kaiser, University of West Bohemia
Gautam Kamath, University of Waterloo
Daniel Kane, University of California
Ken-ichi Kawarabayashi, National Institute of Informatics
Michael P. Kim, University of California
Tsvi Kopelowitz, Bar Ilan University
Ravi Kumar, Google
Andrey Kupavskii, CNRS and Moscow Institute of Physics and Technology
Kasper Green-Larsen, Aarhus University
Jerry Li, Microsoft Research
Daniel Lokshtanov, University of California
Anna Lubiw, University of Waterloo
Brendan Lucier, Microsoft Research
Thodoris Lykouris, Massachusetts Institute of Technology
Martin Milanič, University of Primorska
Joe Mitchell, Stony Brook University
Benjamin Moseley, Carnegie Mellon University
Viswanath Nagarajan, University of Michigan
Peter Nelson, University of Waterloo
Danupon Nanongkai, University of Copenhagen
Jonathan Noel, University of Victoria
Neil Olver, London School of Economics and Political Science
Christophe Paul, University of Montpellier and CNRS
Marcin Pilipczuk, University of Warsaw
Dror Rawitz, Bar Ilan University
Andrea Richa, Arizona State University
Thomas Rothvoss, University of Washington
Aviad Rubinstein, Stanford University
Barna Saha, University of California
Baruch Schieber, New Jersey Institute of Technology
Bruce Shepherd, University of British Columbia
Mohit Singh, Georgia Institute of Technology
Aravind Srinivasan, University of Maryland
Ola Svensson, École Polytechnique Fédérale de Lausanne
Tami Tamir, IDC Herzliya
Seeun William Umboh, The University of Sydney
Sergei Vassilvitskii, Google
David Wajc, Stanford University
Matt Weinberg, Princeton University
Udi Wieder, VMware Research
Andreas Wiese, Universidad de Chile
Steven Wu, Carnegie Mellon University
Amir Abboud, Weizmann Institute of Science
Sepehr Assadi, Rutgers University
Aaron Bernstein, Rutgers University
Therese Biedl, University of Waterloo
Deeparnab Chakrabarty, Dartmouth College
Moses Charikar, Stanford University
Keren Censor-Hillel, Technion
Xi Chen, Columbia University
Christian Coester, Centrum Wiskunde & Informatica (CWI)
