Josh Alman	Columbia University
Anurag Anshu	Harvard University
Nir Bitansky	Tel Aviv University
Keren Censor-Hillel	Technion
Amit Chakrabarti	Dartmouth College
Lijie Chen	MIT
Xi Chen	Columbia University
Sitan Chen	UC Berkeley
Kai-Min Chung	Institute of Information Science, Academia Sinica
Daniel Dadush	CWI
Ilias Diakonikolas	University of Wisconsin, Madison
Sanjam Garg	UC Berkeley / NTT Research
Ashish Goel	Stanford University
Alexander Golovnev	Georgetown University
Piotr Indyk	MIT
Rahul Jain	National University of Singapore
Jonathan Kelner	MIT
James Lee	University of Washington
Jason Li	UC Berkeley
Nancy Lynch	MIT
David Mount	University of Maryland
Chris Musco	NYU
Jelani Nelson	UC Berkeley (chair)
Huy Le Nguyen	Northeastern University
Andrej Risteski	Carnegie Mellon University
Shubhangi Saraf	University of Toronto
Thomas Steinke	Google
Nike Sun	MIT
Vera Traub	ETH Zurich
Emanuele Viola	Northeastern University
Yuichi Yoshida	National Institute of Informatics
