Amir Abboud	Weizmann Institute of Science
Pankaj K. Agarwal	Duke University
Sepehr Assadi	Rutgers University & University of Waterloo
Nikhil Bansal	University of Michigan
Arnab Bhattacharyya	National University of Singapore
Antonio Blanca	Penn State University
Arkadev Chattopadhyay	Tata Institute of Fundamental Research
Shuchi Chawla	UT Austin
Shiri Chechik	Tel-Aviv University
Gil Cohen	Tel-Aviv University
Vincent Cohen-Addad	Google Research
Costis Daskalakis	MIT & Archimedes AI
Yuval Filmus	Technion
Sebastian Forster	University of Salzburg
András Gilyén	Alfréd Rényi Institute of Mathematics, Budapest, Hungary
Mohsen Ghaffari	MIT
Yannai Gonczarowski	Harvard University
Rishab Goyal	University of Wisconsin-Madison
Martin Grohe	RWTH Aachen University
Aayush Jain	Carnegie Mellon University
Valentine Kabanets	Simon Fraser University
Gautam Kamath	University of Waterloo
Thomas Kesselheim	University of Bonn
Valerie King	University of Victoria
Gillat Kol	Princeton University
Pravesh Kothari	Carnegie Mellon University
Michal Koucky	Charles University
Katrina Ligett	Hebrew University
Nutan Limaye	IT University of Copenhagen
Huijia Lin	University of Washington
Alex Lombardi	Simons Institute and UC Berkeley
Shachar Lovett	UC San Diego
Dániel Marx	CISPA Helmholtz Center for Information Security
Raghu Meka	UC Los Angeles
Dieter van Melkebeek	University of Wisconsin-Madison
Ankur Moitra	MIT
Shay Moran	Technion, Google Research
Danupon Nanongkai	Max Planck Institute for Informatics
Aleksandar Nikolov	University of Toronto
Ryan O’Donnell	Carnegie Mellon University
Rafael Oliveira	University of Waterloo
Shayan Oveis Gharan	UW Seattle
Debmalya Panigrahi	Duke University
Chris Peikert	University of Michigan
Richard Peng	University of Waterloo
Seth Pettie	University of Michigan
Sofya Raskhodnikova	Boston University
Bhaskar Ray Chaudhury	UIUC
Dana Ron	Tel Aviv University
Noga Ron-Zewi	University of Haifa
Thomas Rothvoss	University of Washington
Aviad Rubinstein	Stanford
Sushant Sachdeva	University of Toronto
Barna Saha	UC San Diego
Amit Sahai	UC Los Angeles
Shubhangi Saraf	University of Toronto
Aaron Sidford	Stanford
Noah Stephens-Davidowitz	Cornell
Madhu Sudan	Harvard University
Thomas Vidick	California Institute of Technology & Weizmann Institute of Science
Aravindan Vijayaraghavan	Northwestern University
Omri Weinstein	Hebrew University
Daniel Wichs	Northeastern University & NTT Research
Andreas Wiese	Technical University of Munich
Ronald de Wolf	QuSoft, CWI & University of Amsterdam
Mark Zhandry	NTT Research
